Date,Open,High,Low,Close,Adj Close
11-01-2022,0.115,0.118,0.115,0.118,0.118
10-01-2022,0.088,0.093,0.088,0.09,0.09
07-01-2022,0.09,0.09,0.085,0.088,0.088
06-01-2022,0.083,0.093,0.083,0.09,0.09
05-01-2022,0.08,0.093,0.08,0.085,0.085
04-01-2022,0.085,0.085,0.078,0.08,0.08
03-01-2022,0.05,0.058,0.05,0.053,0.053
31-12-2021,0.028,0.033,0.025,0.033,0.033
30-12-2021,0.033,0.033,0.02,0.025,0.025
29-12-2021,0.04,0.05,0.04,0.045,0.045
28-12-2021,0.065,0.065,0.048,0.05,0.05
27-12-2021,0.063,0.063,0.043,0.043,0.043
23-12-2021,0.058,0.06,0.055,0.058,0.058
22-12-2021,0.065,0.065,0.065,0.065,0.065
21-12-2021,0.065,0.07,0.065,0.065,0.065
20-12-2021,0.035,0.043,0.033,0.038,0.038
17-12-2021,0.038,0.038,0.03,0.03,0.03
16-12-2021,0.038,0.04,0.028,0.035,0.035
15-12-2021,0.05,0.05,0.038,0.045,0.045
14-12-2021,0.055,0.055,0.048,0.048,0.048
13-12-2021,0.045,0.048,0.043,0.043,0.043
10-12-2021,0.048,0.05,0.048,0.05,0.05
09-12-2021,0.055,0.055,0.05,0.053,0.053
08-12-2021,0.06,0.06,0.055,0.06,0.06
07-12-2021,0.05,0.058,0.05,0.058,0.058
06-12-2021,0.038,0.043,0.038,0.043,0.043
03-12-2021,0.038,0.043,0.038,0.043,0.043
02-12-2021,0.043,0.045,0.043,0.043,0.043
01-12-2021,0.045,0.05,0.045,0.05,0.05
30-11-2021,0.045,0.05,0.043,0.048,0.048
29-11-2021,0.043,0.043,0.03,0.038,0.038
26-11-2021,0.05,0.05,0.04,0.043,0.043
24-11-2021,0.045,0.053,0.045,0.05,0.05
23-11-2021,0.045,0.045,0.045,0.045,0.045
22-11-2021,0.043,0.043,0.038,0.04,0.04
19-11-2021,0.045,0.045,0.043,0.045,0.045
18-11-2021,0.045,0.045,0.043,0.045,0.045
17-11-2021,0.04,0.045,0.04,0.045,0.045
16-11-2021,0.04,0.04,0.04,0.04,0.04
15-11-2021,0.04,0.043,0.033,0.038,0.038
12-11-2021,0.043,0.043,0.04,0.043,0.043
11-11-2021,0.04,0.04,0.04,0.04,0.04
10-11-2021,0.04,0.045,0.038,0.045,0.045
09-11-2021,0.04,0.04,0.04,0.04,0.04
08-11-2021,0.04,0.04,0.035,0.035,0.035
05-11-2021,0.035,0.04,0.035,0.04,0.04
04-11-2021,0.038,0.04,0.035,0.035,0.035
03-11-2021,0.045,0.045,0.043,0.045,0.045
02-11-2021,0.045,0.045,0.043,0.045,0.045
01-11-2021,0.048,0.048,0.04,0.04,0.04
29-10-2021,0.043,0.048,0.043,0.048,0.048
28-10-2021,0.043,0.05,0.043,0.048,0.048
27-10-2021,0.05,0.05,0.05,0.05,0.05
26-10-2021,0.05,0.05,0.05,0.05,0.05
25-10-2021,0.05,0.05,0.05,0.05,0.05
22-10-2021,0.05,0.05,0.05,0.05,0.05
21-10-2021,0.045,0.05,0.043,0.05,0.05
20-10-2021,0.05,0.05,0.05,0.05,0.05
19-10-2021,0.05,0.05,0.05,0.05,0.05
18-10-2021,0.043,0.045,0.043,0.043,0.043
15-10-2021,0.038,0.04,0.038,0.038,0.038
14-10-2021,0.045,0.045,0.038,0.04,0.04
13-10-2021,0.045,0.045,0.045,0.045,0.045
12-10-2021,0.04,0.045,0.04,0.04,0.04
11-10-2021,0.04,0.04,0.04,0.04,0.04
08-10-2021,0.04,0.045,0.04,0.04,0.04
07-10-2021,0.04,0.045,0.038,0.04,0.04
06-10-2021,0.035,0.04,0.035,0.04,0.04
05-10-2021,0.033,0.038,0.033,0.035,0.035
04-10-2021,0.03,0.03,0.028,0.028,0.028
01-10-2021,0.03,0.033,0.025,0.028,0.028
